Torneio,Temporada,Equipe,Nome,Slug,Short Name,Gender,Sport,Category,Tournament,Manager,Venue,Foundation Date,ID,Country,Full Name,Team Colors
Serie A,Serie A 13/14,Livorno,Livorno,livorno,Livorno,M,Football,Italy,"Serie C, Girone A",Giancarlo Favarin,Armando Picchi,1915-02-15 00:00:00,2726,Italy,Livorno,#68132c
Serie A,Serie A 12/13,Siena,Siena,siena,Siena,M,Football,Italy Amateur,"Serie D, Girone E",,Stadio Artemio Franchi,1904-09-15 00:00:00,170650,Italy,Siena,#ffffff
Serie A,Serie A 11/12,Novara,Novara,novara,Novara,M,Football,Italy,"Serie C, Girone A",Giacomo Gattuso,Stadio Silvio Piola,1908-12-22 00:00:00,2767,Italy,Novara,#0066cc
Serie A,Serie A 10/11,Bari,Bari,bari,Bari,M,Football,Italy,"Serie C, Girone C",Pasquale Marino,San Nicola,1908-01-15 00:00:00,2712,Italy,Bari,#ffffff
Serie A,Serie A 08/09,LFA Reggio Calabria,LFA Reggio Calabria,lfa-reggio-calabria,Reggio Calabria,M,Football,Italy,,Bruno Trocini,Stadio Oreste Granillo,1914-01-11 00:00:00,491246,Italy,LFA Reggio Calabria,#841230
Serie A,Serie A 06/07,Ascoli,Ascoli,ascoli,Ascoli,M,Football,Italy,Serie B,Fabrizio Castori,Cino e Lillo Del Duca,1898-11-01 00:00:00,2707,Italy,Ascoli,#000000
Serie A,Serie A 06/07,Messina,Messina,messina,Messina,M,Football,Italy,"Serie D, Girone I",Giacomo Modica,San Filippo-Franco Scoglio,1900-12-01 00:00:00,2720,Italy,Messina,#ff0000
Serie A,Serie A 05/06,Treviso,Treviso,treviso,Treviso,M,Football,Italy,"Coppa Italia Serie C, 2nd Round",Michele Florindo,,1909-01-18 00:00:00,4485,Italy,Treviso,#8bc7fb
Serie A,Serie A 03/04,Perugia,Perugia,perugia,Perugia,M,Football,Italy,"Serie C, Girone B",Francesco Baldini,Stadio Renato Curi,1905-06-09 00:00:00,2698,Italy,Perugia,#ff0000
Serie A,Serie A 03/04,Modena,Modena,modena,Modena,M,Football,Italy,"Serie C, Girone B",Paolo Bianco,Alberto Braglia,1912-04-05 00:00:00,2706,Italy,Modena,#ffff00
Serie A,Serie A 03/04,Ancona,Ancona,ancona,Ancona,M,Football,Italy,"Serie C, Girone B",Gianluca Colavitto,Stadio del Conero,1905-03-05 00:00:00,2721,Italy,Ancona,#ff0000
Serie A,Serie A 02/03,Piacenza,Piacenza,piacenza,Piacenza,M,Football,Italy,"Serie C, Girone A",Stefano Rossini,Stadio Leonardo Garilli,1919-06-30 00:00:00,2700,Italy,Piacenza,#ff0000
Serie A,Serie A 02/03,Como,Como,como,Como,M,Football,Italy,"Serie C, Girone A",Cesc Fàbregas,Stadio Giuseppe Sinigaglia,1907-05-25 00:00:00,2704,Italy,Como,#09436b
Serie A,Serie A 00/01,L.R. Vicenza,L.R. Vicenza,lr-vicenza,Vicenza,M,Football,Italy,Serie B,Aimo Diana,Stadio Romeo Menti,1902-03-09 00:00:00,2722,Italy,L.R. Vicenza,#ffffff
Ligue 1,Ligue 1 23/24,Nice,Nice,nice,Nice,M,Football,France,Ligue 1,Francesco Farioli,Allianz Riviera,1904-07-09 00:00:00,1661,France,Nice,#000000
Ligue 1,Ligue 1 23/24,Lille,Lille,lille,Lille,M,Football,France,Ligue 1,Paulo Fonseca,Stade Pierre Mauroy,1944-09-23 00:00:00,1643,France,Lille,#df0000
Ligue 1,Ligue 1 23/24,Stade de Reims,Stade de Reims,stade-de-reims,Reims,M,Football,France,Ligue 1,Will Still,Stade Auguste Delaune,1931-06-18 00:00:00,1682,France,Stade de Reims,#ffffff
Ligue 1,Ligue 1 23/24,Lens,Lens,lens,Lens,M,Football,France,Ligue 1,Franck Haise,Stade Bollaert-Delelis,1906-01-01 00:00:00,1648,France,Lens,#a71a1b
Ligue 1,Ligue 1 23/24,Le Havre,Le Havre,le-havre,Le Havre,M,Football,France,Ligue 2,Luka Elsner,Stade Oceane,1872-01-01 00:00:00,1662,France,Le Havre,#3399ff
Ligue 1,Ligue 1 23/24,Stade Brestois,Stade Brestois,stade-brestois,Brest,M,Football,France,Ligue 1,Eric Roy,Stade Francis-Le Ble,1950-06-26 00:00:00,1715,France,Stade Brestois,#ffffff
Ligue 1,Ligue 1 23/24,Nantes,Nantes,nantes,Nantes,M,Football,France,Ligue 1,Pierre Aristouy,Stade de la Beaujoire,1943-04-21 00:00:00,1647,France,Nantes,#ffdc12
Ligue 1,Ligue 1 23/24,Metz,Metz,metz,Metz,M,Football,France,Ligue 1,Laszlo Boloni,Stade Saint Symphorien,1932-09-11 00:00:00,1651,France,Metz,#a2052c
Ligue 1,Ligue 1 23/24,Strasbourg,Strasbourg,strasbourg,Strasbourg,M,Football,France,Ligue 1,Patrick Vieira,Stade de la Meinau,1906-01-01 00:00:00,1659,France,Strasbourg,#00458e
Ligue 1,Ligue 1 23/24,Montpellier,Montpellier,montpellier,Montpellier,M,Football,France,Ligue 1,Michel Der Zakarian,Stade de la Mosson,1974-01-01 00:00:00,1642,France,Montpellier,#003e7e
Ligue 1,Ligue 1 23/24,Stade Rennais,Stade Rennais,stade-rennais,Rennes,M,Football,France,Ligue 1,Bruno Genesio,Roazhon Park,1901-03-10 00:00:00,1658,France,Stade Rennais,#ff0000
Ligue 1,Ligue 1 23/24,Toulouse,Toulouse,toulouse,Toulouse,M,Football,France,Ligue 2,Carles Martínez,Stadium de Toulouse,1937-01-01 00:00:00,1681,France,Toulouse,#660099
Ligue 1,Ligue 1 23/24,Lorient,Lorient,lorient,Lorient,M,Football,France,Ligue 1,Régis Le Bris,Stade Yves Allainmat-Le Moustoir,1926-04-02 00:00:00,1656,France,Lorient,#ff6600
Ligue 1,Ligue 1 23/24,Clermont Foot,Clermont Foot,clermont-foot,Clermont,M,Football,France,Ligue 1,Pascal Gastien,Stade Gabriel Montpied,1911-10-11 00:00:00,1680,France,Clermont Foot,#cc0000
Ligue 1,Ligue 1 22/23,Auxerre,Auxerre,auxerre,Auxerre,M,Football,France,Ligue 2,Christophe Pélissier,Stade de l'Abbe-Deschamps,1905-12-29 00:00:00,1646,France,Auxerre,#ffffff
Ligue 1,Ligue 1 22/23,Ajaccio,Ajaccio,ajaccio,Ajaccio,M,Football,France,Ligue 2,Olivier Pantaloni,Stade Francois Coty,1910-03-01 00:00:00,1660,France,Ajaccio,#ffffff
Ligue 1,Ligue 1 22/23,Troyes,Troyes,troyes,Troyes,M,Football,France,Ligue 1,Patrick Kisnorbo,Stade de l'Aube,1986-01-01 00:00:00,1652,France,Troyes,#0000ff
Ligue 1,Ligue 1 22/23,Angers,Angers,angers,Angers,M,Football,France,Ligue 1,Alexandre Dujeux,Stade Raymond-Kopa,1919-10-19 00:00:00,1684,France,Angers,#000000
Ligue 1,Ligue 1 21/22,Saint-Étienne,Saint-Étienne,saint-etienne,Saint-Étienne,M,Football,France,Ligue 1,Laurent Batlles,Stade Geoffroy Guichard,1933-06-01 00:00:00,1678,France,Saint-Étienne,#1e824c
Ligue 1,Ligue 1 20/21,Nîmes Olympique,Nîmes Olympique,nimes-olympique,Nîmes,M,Football,France,Ligue 2,Frederic Bompard,Stade des Costieres,1937-04-10 00:00:00,1663,France,Nîmes Olympique,#cc0000
Ligue 1,Ligue 1 20/21,Dijon,Dijon,dijon,Dijon,M,Football,France,Ligue 2,Benoit Tavenot,Stade Gaston Gerard,1998-07-01 00:00:00,1686,France,Dijon,#d71938
Ligue 1,Ligue 1 19/20,Amiens SC,Amiens SC,amiens-sc,Amiens,M,Football,France,Ligue 2,Omar Daf,Stade Crédit Agricole la Licorne,1901-10-06 00:00:00,1676,France,Amiens SC,#ffffff
Ligue 1,Ligue 1 18/19,Caen,Caen,caen,Caen,M,Football,France,Ligue 2,Denis Moutier,Stade Michel d'Ornano,1913-11-17 00:00:00,1667,France,Caen,#003c95
Ligue 1,Ligue 1 18/19,Guingamp,Guingamp,guingamp,Guingamp,M,Football,France,Ligue 2,Stephane Dumont,Stade du Roudourou,1912-01-01 00:00:00,1654,France,Guingamp,#cc0000
Ligue 1,Ligue 1 16/17,Nancy,Nancy,nancy,Nancy,M,Football,France,Ligue 2,Benoit Pedretti,Stade Marcel Picot,1967-06-16 00:00:00,1675,France,Nancy,#ffffff
Ligue 1,Ligue 1 16/17,Bastia,Bastia,bastia,Bastia,M,Football,France,Ligue 2,Regis Brouard,Stade Armand Cesari,1905-01-01 00:00:00,1655,France,Bastia,#004be8
Ligue 1,Ligue 1 15/16,GFC Ajaccio,GFC Ajaccio,gfc-ajaccio,GFC Ajaccio,M,Football,France Amateur,Coupe de France,,Stade Ange-Casanova,1910-01-01 00:00:00,7924,France,GFC Ajaccio,#cc3300
Ligue 1,Ligue 1 14/15,Thonon Evian Grand Genève F.C,Thonon Evian Grand Genève F.C,thonon-evian-grand-geneve-fc,Thonon Evian,M,Football,France Amateur,Coupe de France,,Stade Joseph-Moynat,1924-01-01 00:00:00,21800,France,Thonon Evian Grand Genève F.C,#ff99ff
Ligue 1,Ligue 1 13/14,Sochaux,Sochaux,sochaux,Sochaux,M,Football,France,Ligue 2,Oswald Tanchot,Stade Bonal,1928-01-01 00:00:00,1657,France,Sochaux,#ffff00
Ligue 1,Ligue 1 13/14,Valenciennes,Valenciennes,valenciennes,Valenciennes,M,Football,France,Ligue 2,Jorge Maciel,Stade du Hainaut,1913-01-01 00:00:00,5061,France,Valenciennes,#cc0000
Ligue 1,Ligue 1 10/11,Arles,Arles,arles,Arles,M,Football,France,Coupe de la Ligue,,Parc des Sports,1912-12-19 00:00:00,7721,France,Arles,#ffff00
Ligue 1,Ligue 1 09/10,Le Mans,Le Mans,le-mans,Le Mans,M,Football,France,National 1,Reginald Ray,Stade Marie-Marvingt,1985-06-12 00:00:00,1672,France,Le Mans,#ff0000
Ligue 1,Ligue 1 09/10,US Boulogne Côte-d'Opale,US Boulogne Côte-d'Opale,us-boulogne-cote-dopale,Boulogne-sur-Mer,M,Football,France,National 1,Christophe Raymond,Stade de la Libération,1898-01-01 00:00:00,1711,France,US Boulogne Côte-d'Opale,#000000
Ligue 1,Ligue 1 09/10,Grenoble Foot 38,Grenoble Foot 38,grenoble-foot-38,Grenoble,M,Football,France,Ligue 2,Vincent Hognon,Stade des Alpes,1892-01-01 00:00:00,1671,France,Grenoble Foot 38,#001a73
Ligue 1,Ligue 1 06/07,CS Sedan,CS Sedan,cs-sedan,CS Sedan,M,Football,France,National 1,,Stade Louis Dugauguez,1919-01-01 00:00:00,1650,France,CS Sedan,#ff0000
Ligue 1,Ligue 1 04/05,Istres,Istres,istres,Istres,M,Football,France Amateur,Coupe de France,Frederic Cravero,Stade Parsemain,1920-01-01 00:00:00,1674,France,Istres,#9995c8
Ligue 1,Division 1 97/98,Châteauroux,Châteauroux,chateauroux,Châteauroux,M,Football,France,National 1,Olivier Saragaglia,Stade Gaston Petit,1883-01-01 00:00:00,1666,France,Châteauroux,#330099
Ligue 1,Division 1 97/98,AS Cannes,AS Cannes,as-cannes,AS Cannes,M,Football,France Amateur,Coupe de France,Jean Noel Cabezas,Stade Pierre de Coubertin,1902-01-01 00:00:00,1755,France,AS Cannes,#ae131d
Eredivisie,Eredivisie 23/24,AZ Alkmaar,AZ Alkmaar,az-alkmaar,AZ,M,Football,Netherlands,Eredivisie,Pascal Jansen,AFAS Stadion,1967-05-10 00:00:00,2950,Netherlands,AZ Alkmaar,#ff0000
Eredivisie,Eredivisie 23/24,Go Ahead Eagles,Go Ahead Eagles,go-ahead-eagles,GA Eagles,M,Football,Netherlands,Eredivisie,Rene Hake,De Adelaarshorst,1902-12-02 00:00:00,2979,Netherlands,Go Ahead Eagles,#ffcc00
Eredivisie,Eredivisie 23/24,Sparta Rotterdam,Sparta Rotterdam,sparta-rotterdam,Sparta,M,Football,Netherlands,Eredivisie,Jeroen Rijsdijk,Het Kasteel,1888-04-01 00:00:00,2960,Netherlands,Sparta Rotterdam,#ffffff
Eredivisie,Eredivisie 23/24,SC Heerenveen,SC Heerenveen,sc-heerenveen,Heerenveen,M,Football,Netherlands,Eredivisie,Kees Van Wonderen,Abe Lenstra Stadion,1920-07-20 00:00:00,2964,Netherlands,SC Heerenveen,#ffffff
Eredivisie,Eredivisie 23/24,Excelsior,Excelsior,excelsior,Excelsior,M,Football,Netherlands,Eerste Divisie,Marinus Dijkhuizen,Stadion Woudestein,1902-07-23 00:00:00,2967,Netherlands,Excelsior,#000000
Eredivisie,Eredivisie 23/24,PEC Zwolle,PEC Zwolle,pec-zwolle,Zwolle,M,Football,Netherlands,Eredivisie,Johnny Jansen,MAC³PARK Stadion,1910-06-12 00:00:00,2971,Netherlands,PEC Zwolle,#0066cc
Eredivisie,Eredivisie 23/24,Almere City FC,Almere City FC,almere-city-fc,Almere City,M,Football,Netherlands,Eerste Divisie,Alex Pastoor,Yanmar Stadion,2001-09-14 00:00:00,2990,Netherlands,Almere City FC,#620709
Eredivisie,Eredivisie 23/24,Fortuna Sittard,Fortuna Sittard,fortuna-sittard,Fortuna,M,Football,Netherlands,Eredivisie,Danny Buijs,Fortuna Sittard Stadion,1968-07-01 00:00:00,2957,Netherlands,Fortuna Sittard,#00674c
Eredivisie,Eredivisie 23/24,RKC Waalwijk,RKC Waalwijk,rkc-waalwijk,Waalwijk,M,Football,Netherlands,Eredivisie,Henk Fraser,Mandemakers Stadion,1940-08-26 00:00:00,2956,Netherlands,RKC Waalwijk,#ffff00
Eredivisie,Eredivisie 23/24,Heracles Almelo,Heracles Almelo,heracles-almelo,Heracles,M,Football,Netherlands,Eredivisie,John Lammers,Erve Asito,1903-05-03 00:00:00,2977,Netherlands,Heracles Almelo,#ffffff
Eredivisie,Eredivisie 23/24,NEC Nijmegen,NEC Nijmegen,nec-nijmegen,NEC,M,Football,Netherlands,Eredivisie,Rogier Meijer,Stadion de Goffert,1900-11-15 00:00:00,2962,Netherlands,NEC Nijmegen,#ff0000
Eredivisie,Eredivisie 23/24,FC Utrecht,FC Utrecht,fc-utrecht,Utrecht,M,Football,Netherlands,Eredivisie,Ron Jans,Stadion Galgenwaard,1970-07-01 00:00:00,2948,Netherlands,FC Utrecht,#ff0000
Eredivisie,Eredivisie 23/24,FC Volendam,FC Volendam,fc-volendam,Volendam,M,Football,Netherlands,Eerste Divisie,Matthias Kohler,Kras Stadion,1977-06-01 00:00:00,2968,Netherlands,FC Volendam,#f5762f
Eredivisie,Eredivisie 23/24,Vitesse,Vitesse,vitesse,Vitesse,M,Football,Netherlands,Eredivisie,Edward Sturing,Gelredome,1892-05-14 00:00:00,2958,Netherlands,Vitesse,#ffff00
Eredivisie,Eredivisie 22/23,FC Emmen,FC Emmen,fc-emmen,Emmen,M,Football,Netherlands,Eerste Divisie,Fred Grim,De Oude Meerdijk,1925-08-21 00:00:00,2965,Netherlands,FC Emmen,#e8ecf8
Eredivisie,Eredivisie 22/23,SC Cambuur,SC Cambuur,sc-cambuur,Cambuur,M,Football,Netherlands,Eredivisie,Henk de Jong,Cambuur-Stadion,1964-06-19 00:00:00,2970,Netherlands,SC Cambuur,#ffff00
Eredivisie,Eredivisie 22/23,FC Groningen,FC Groningen,fc-groningen,Groningen,M,Football,Netherlands,Eredivisie,Dick Lukkien,Hitachi Capital Mobility Stadion,1971-06-16 00:00:00,2951,Netherlands,FC Groningen,#ffffff
Eredivisie,Eredivisie 21/22,Willem II Tilburg,Willem II Tilburg,willem-ii-tilburg,Willem II,M,Football,Netherlands,Eredivisie,Peter Maes,Koning Willem II Stadion,1896-08-12 00:00:00,2961,Netherlands,Willem II Tilburg,#ffffff
Eredivisie,Eredivisie 20/21,VVV-Venlo,VVV-Venlo,vvv-venlo,VVV-Venlo,M,Football,Netherlands,Eerste Divisie,Rick Kruys,Covebo Stadion - De Koel,1903-02-07 00:00:00,2980,Netherlands,VVV-Venlo,#ffff00
Eredivisie,Eredivisie 20/21,ADO Den Haag,ADO Den Haag,ado-den-haag,ADO,M,Football,Netherlands,Eerste Divisie,Darije Kalezić,Cars Jeans Stadion,1905-02-01 00:00:00,2966,Netherlands,ADO Den Haag,#339900
Eredivisie,Eredivisie 18/19,De Graafschap,De Graafschap,de-graafschap,De Graafschap,M,Football,Netherlands,Eerste Divisie,Jan Vreman,De Vijverberg,1954-02-01 00:00:00,2949,Netherlands,De Graafschap,#ffffff
Eredivisie,Eredivisie 18/19,NAC Breda,NAC Breda,nac-breda,NAC Breda,M,Football,Netherlands,Eerste Divisie,Jean-Paul van Gastel,Rat Verlegh Stadion,1912-09-19 00:00:00,2947,Netherlands,NAC Breda,#ffcc00
Eredivisie,Eredivisie 17/18,Roda JC Kerkrade,Roda JC Kerkrade,roda-jc-kerkrade,Roda,M,Football,Netherlands,Eerste Divisie,Bas Sibum,Parkstad Limburg,1962-06-27 00:00:00,2954,Netherlands,Roda JC Kerkrade,#ffff00
Eredivisie,Eredivisie 14/15,FC Dordrecht,FC Dordrecht,fc-dordrecht,Dordrecht,M,Football,Netherlands,Eerste Divisie,Michele Santoni,GN Bouw Stadion,1972-07-01 00:00:00,2973,Netherlands,FC Dordrecht,#00cc66
CONMEBOL Libertadores,Copa Libertadores 2023,Racing Club,Racing Club,racing-club,Racing,M,Football,Argentina,Liga Profesional de Fútbol,Sebastián Grazzini,Estadio Presidente Perón,1903-03-25 00:00:00,3215,Argentina,Racing Club,#00ccff
CONMEBOL Libertadores,Copa Libertadores 2023,Ñublense,Ñublense,nublense,Ñublense,M,Football,Chile,Primera Division,Hernan Caputto,Estadio Municipal Nelson Oyarzún Arenas,1916-08-20 00:00:00,7029,Chile,Ñublense,#ff0000
CONMEBOL Libertadores,Copa Libertadores 2023,Aucas,Aucas,aucas,Aucas,M,Football,Ecuador,"LigaPro Serie A, Primera Etapa",Santiago Escobar,Estadio Gonzalo Pozo Ripalda,1945-02-06 00:00:00,5249,Ecuador,Aucas,#d4252a
CONMEBOL Libertadores,Copa Libertadores 2022,Emelec,Emelec,emelec,Emelec,M,Football,Ecuador,"LigaPro Serie A, Primera Etapa",Hernan Torres Oliveros,Estadio Banco del Pacífico Capwell,1929-04-28 00:00:00,5255,Ecuador,Emelec,#0000cc
CONMEBOL Libertadores,Copa Libertadores 2022,Deportivo Táchira,Deportivo Táchira,deportivo-tachira,Dep. Táchira,M,Football,Venezuela,"Primera División, Grupo Occidental",Eduardo Sarago,Polideportivo de Pueblo Nuevo,1974-01-11 00:00:00,6231,Venezuela,Deportivo Táchira,#ffff00
CONMEBOL Libertadores,Copa Libertadores 2022,Independiente Petrolero,Independiente Petrolero,independiente-petrolero,Independiente Petrolero,M,Football,Bolivia,Division Profesional,Marcelo Robledo,Estadio Olimpico Patria,1932-04-04 00:00:00,372975,Bolivia,Independiente Petrolero,#fc0601
CONMEBOL Libertadores,Copa Libertadores 2021,Defensa y Justicia,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,Argentina,Liga Profesional de Fútbol,Julio Vaccari,Estadio Norberto Tomaghello,1935-03-20 00:00:00,36839,Argentina,Defensa y Justicia,#ffff00
CONMEBOL Libertadores,Copa Libertadores 2021,Independiente del Valle,Independiente del Valle,independiente-del-valle,Independiente del Valle,M,Football,Ecuador,"LigaPro Serie A, Primera Etapa",Martin Anselmi,Estadio Banco De Guayaquil,1958-03-01 00:00:00,39723,Ecuador,Independiente del Valle,#002945
CONMEBOL Libertadores,Copa Libertadores 2021,Universitario,Universitario,universitario,Universitario,M,Football,Peru,"Liga 1, Clausura",Jorge Fossati,Estadio Monumental,1924-08-07 00:00:00,2305,Peru,Universitario,#ffffcc
CONMEBOL Libertadores,Copa Libertadores 2020,Junior Barranquilla,Junior Barranquilla,junior-barranquilla,Junior Barranquilla,M,Football,Colombia,"Primera A, Apertura",Arturo Reyes,Estadio Metropolitano Roberto Melendez,1924-08-07 00:00:00,6105,Colombia,Junior Barranquilla,#cc0000
CONMEBOL Libertadores,Copa Libertadores 2020,Barcelona SC,Barcelona SC,barcelona-sc,Barcelona SC,M,Football,Ecuador,"LigaPro Serie A, Primera Etapa",Diego Lopez,Estadio Monumental Banco Pichincha,1925-05-01 00:00:00,5250,Ecuador,Barcelona SC,#ffff00
CONMEBOL Libertadores,Copa Libertadores 2019,River Plate,River Plate,river-plate,River,M,Football,Argentina,Liga Profesional de Fútbol,Martín Demichelis,Estadio Mâs Monumental,1901-05-25 00:00:00,3211,Argentina,River Plate,#ffffff
CONMEBOL Libertadores,Copa Libertadores 2019,Palestino,Palestino,palestino,Palestino,M,Football,Chile,Primera Division,Pablo Andres Sanchez,Municipal de La Cisterna,1920-08-20 00:00:00,3157,Chile,Palestino,#ffffff
CONMEBOL Libertadores,Copa Libertadores 2019,Alianza Lima,Alianza Lima,alianza-lima,Alianza Lima,M,Football,Peru,"Liga 1, Clausura",Jose Mauricio Larriera Dibarboure,Estadio Alejandro Villanueva,1901-02-15 00:00:00,2311,Peru,Alianza Lima,#091d47
CONMEBOL Libertadores,Copa Libertadores 2018,Cerro Porteño,Cerro Porteño,cerro-porteno,Cerro Porteño,M,Football,Paraguay,"Primera Division, Apertura",Victor Bernay,General Pablo Rojas,1912-10-01 00:00:00,5991,Paraguay,Cerro Porteño,#cc0000
CONMEBOL Libertadores,Copa Libertadores 2018,Defensor Sporting,Defensor Sporting,defensor-sporting,Defensor,M,Football,Uruguay,Segunda División,Marcelo Mendez,Estadio Luis Franzini,1913-03-15 00:00:00,3229,Uruguay,Defensor Sporting,#9933ff
CONMEBOL Libertadores,Copa Libertadores 2018,Monagas,Monagas,monagas,Monagas,M,Football,Venezuela,"Primera División, Grupo Oriental",Jhonny Ferreira,Monumental de Maturín,1987-09-23 00:00:00,6233,Venezuela,Monagas,#000066
CONMEBOL Libertadores,Copa Libertadores 2017,Estudiantes de La Plata,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,Argentina,Liga Profesional de Fútbol,Eduardo Dominguez,Jorge Luis Hirschi Stadium,1905-08-04 00:00:00,3206,Argentina,Estudiantes de La Plata,#ff0000
CONMEBOL Libertadores,Copa Libertadores 2017,Atlético Nacional,Atlético Nacional,atletico-nacional,Atl. Nacional,M,Football,Colombia,"Primera A, Clausura",Jhon Jairo Bodmer,Estadio Atanasio Girardot,1947-03-07 00:00:00,6106,Colombia,Atlético Nacional,#339933
CONMEBOL Libertadores,Copa Libertadores 2016,The Strongest,The Strongest,the-strongest,The Strongest,M,Football,Bolivia,Division Profesional,Pablo Cabanillas,Estadio Hernando Siles,1908-04-08 00:00:00,32529,Bolivia,The Strongest,#ffcc00
CONMEBOL Libertadores,Copa Libertadores 2016,Trujillanos FC,Trujillanos FC,trujillanos-fc,Trujillanos,M,Football,Venezuela,"Primera División, Grupo Occidental",,Estadio Jose Alberto Perez,1981-08-25 00:00:00,6235,Venezuela,Trujillanos FC,#ffff00
CONMEBOL Libertadores,Copa Libertadores 2015,Independiente Santa Fe,Independiente Santa Fe,independiente-santa-fe,Santa Fe,M,Football,Colombia,"Primera A, Apertura",Pablo Peirano,Estadio Nemesio Camacho El Campin,1941-02-28 00:00:00,6116,Colombia,Independiente Santa Fe,#ffffff
CONMEBOL Libertadores,Copa Libertadores 2015,Colo Colo,Colo Colo,colo-colo,Colo-Colo,M,Football,Chile,Primera Division,Gustavo Quinteros,Monumental David Arellano,1925-04-19 00:00:00,3155,Chile,Colo Colo,#ffffff
CONMEBOL Libertadores,Copa Libertadores 2015,Atlas,Atlas,atlas,Atlas,M,Football,Mexico,"Liga MX, Clausura",Omar Flores,Estadio Jalisco,1916-08-15 00:00:00,1949,Mexico,Atlas,#e70b17
CONMEBOL Libertadores,Copa Libertadores 2014,Vélez Sarsfield,Vélez Sarsfield,velez-sarsfield,Vélez Sarsfield,M,Football,Argentina,Liga Profesional de Fútbol,Sebastian Mendez,Jose Amalfitani,1910-01-01 00:00:00,3208,Argentina,Vélez Sarsfield,#ffffff
CONMEBOL Libertadores,Copa Libertadores 2013,Club Nacional de Fútbol,Club Nacional de Fútbol,club-nacional-de-futbol,Nacional,M,Football,Uruguay,"Primera División, Apertura",Àlvaro Recoba,Gran Parque Central,1899-05-14 00:00:00,3230,Uruguay,Club Nacional de Fútbol,#ffffff
CONMEBOL Libertadores,Copa Libertadores 2013,Boca Juniors,Boca Juniors,boca-juniors,Boca Juniors,M,Football,Argentina,Liga Profesional de Fútbol,Mariano Herron,Alberto J. Armando,1905-04-03 00:00:00,3202,Argentina,Boca Juniors,#003399
CONMEBOL Libertadores,Copa Libertadores 2013,Toluca,Toluca,toluca,Toluca,M,Football,Mexico,"Liga MX, Clausura",Carlos Maria Morales,Estadio Nemesio Diez,1917-02-12 00:00:00,1931,Mexico,Toluca,#d50101
CONMEBOL Libertadores,Copa Libertadores 2012,Juan Aurich,Juan Aurich,juan-aurich,Juan Aurich,M,Football,Peru,Liga 2,Jesus Oropesa,Estadio Cesar Flores Marigorda,1922-09-03 00:00:00,2303,Peru,Juan Aurich,#ff0000
CONMEBOL Libertadores,Copa Libertadores 2011,Libertad,Libertad,libertad,Libertad,M,Football,Paraguay,"Primera Division, Apertura",Ariel Galeano,Estadio Dr. Nicolás Léoz,1905-07-30 00:00:00,5996,Paraguay,Libertad,#ffffff
CONMEBOL Libertadores,Copa Libertadores 2011,Once Caldas,Once Caldas,once-caldas,Once Caldas,M,Football,Colombia,"Primera A, Clausura",Hernan Dario Herrera Ramirez,Estadio Palogrande,1961-01-15 00:00:00,6118,Colombia,Once Caldas,#ffffff
CONMEBOL Libertadores,Copa Libertadores 2011,Deportivo USMP,Deportivo USMP,deportivo-usmp,USMP,M,Football,Peru,"Liga 1, Clausura",Duilio Cisneros,Estadio Alberto Gallardo,2004-01-21 00:00:00,5282,Peru,Deportivo USMP,#ffffff
CONMEBOL Libertadores,Copa Libertadores 2011,Chiapas,Chiapas,chiapas,Chiapas,M,Football,Mexico,CONMEBOL Sudamericana,,Estadio Victor Manuel Reyna,2002-06-27 00:00:00,1953,Mexico,Chiapas,#008040
CONMEBOL Libertadores,Copa Libertadores 2010,Racing de Montevideo,Racing de Montevideo,racing-de-montevideo,Racing,M,Football,Uruguay,Segunda División,,Estadio Osvaldo Roberto,1919-04-06 00:00:00,25010,Uruguay,Racing de Montevideo,#339900
CONMEBOL Libertadores,Copa Libertadores 2010,Independiente Medellín,Independiente Medellín,independiente-medellin,Ind. Medellín,M,Football,Colombia,"Primera A, Clausura",Alfredo Arias,Estadio Atanasio Girardot,1914-04-15 00:00:00,6115,Colombia,Independiente Medellín,#ffffff
CONMEBOL Libertadores,Copa Libertadores 2009,LDU,LDU,ldu,LDU,M,Football,Ecuador,"LigaPro Serie A, Primera Etapa",Luis Zubeldia,Estadio Rodrigo Paz Delgado,1918-10-23 00:00:00,5257,Ecuador,LDU,#ffffff
CAF Champions League,CAF Champions League 23/24,Pyramids FC,Pyramids FC,pyramids-fc,Pyramids,M,Football,Egypt,Premier League,Jaime Pacheco,30 June Stadium,2018-06-28 00:00:00,175002,Egypt,Pyramids FC,#09a1d8
CAF Champions League,CAF Champions League 23/24,FC Nouadhibou,FC Nouadhibou,fc-nouadhibou,Nouadhibou,M,Football,Mauritania,"CAF Champions League, Qualification",Aritz Lopez Garai,,1999-03-24 00:00:00,134304,Mauritania,FC Nouadhibou,#ff7629
CAF Champions League,CAF Champions League 23/24,Mamelodi Sundowns,Mamelodi Sundowns,mamelodi-sundowns,Sundowns,M,Football,South Africa,Premiership,Rulani Mokwena,Loftus Versfeld Stadium,1969-11-30 00:00:00,7665,South Africa,Mamelodi Sundowns,#ffe000
